rank,release_date,title,url,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,year
1,4/23/2019,Avengers: Endgame,/movie/Avengers-Endgame-(2019)#tab=summary,400000000,858373000,2797800564,357115007,PG-13,Action,4662,181,2019
2,5/20/2011,Pirates of the Caribbean: On Stranger Tides,/movie/Pirates-of-the-Caribbean-On-Stranger-Tides#tab=summary,379000000,241071802,1045713802,90151958,PG-13,Adventure,4164,136,2011
3,4/22/2015,Avengers: Age of Ultron,/movie/Avengers-Age-of-Ultron#tab=summary,365000000,459005868,1395316979,191271109,PG-13,Action,4276,141,2015
4,12/16/2015,Star Wars Ep. VII: The Force Awakens,/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary,306000000,936662225,2064615817,247966675,PG-13,Adventure,4134,136,2015
5,4/25/2018,Avengers: Infinity War,/movie/Avengers-Infinity-War#tab=summary,300000000,678815482,2048359754,257698183,PG-13,Action,4474,156,2018
6,5/24/2007,Pirates of the Caribbean: At World’s End,/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary,300000000,309420425,960996492,114732820,PG-13,Adventure,4362,167,2007
7,11/13/2017,Justice League,/movie/Justice-League-(2017)#tab=summary,300000000,229024295,655945209,93842239,PG-13,Action,4051,121,2017
8,10/6/2015,Spectre,/movie/Spectre#tab=summary,300000000,200074175,879500760,70403148,PG-13,Action,3929,148,2015
10,12/18/2019,Star Wars: The Rise of Skywalker,/movie/Star-Wars-The-Rise-of-Skywalker-(2019)#tab=summary,275000000,515202542,1072848487,177383864,PG-13,Adventure,4406,142,2019
11,5/23/2018,Solo: A Star Wars Story,/movie/Solo-A-Star-Wars-Story#tab=summary,275000000,213767512,393151347,84420489,PG-13,Adventure,4381,135,2018
12,3/7/2012,John Carter,/movie/John-Carter-of-Mars#tab=summary,263700000,73058679,282778100,30180188,PG-13,Adventure,3749,132,2012
13,3/23/2016,Batman v Superman: Dawn of Justice,/movie/Batman-v-Superman-Dawn-of-Justice#tab=summary,263000000,330360194,872395091,166007347,PG-13,Action,4256,151,2016
14,12/13/2017,Star Wars Ep. VIII: The Last Jedi,/movie/Star-Wars-Ep-VIII-The-Last-Jedi#tab=summary,262000000,620181382,1331635141,220009584,PG-13,Adventure,4232,150,2017
15,7/11/2019,The Lion King,/movie/Lion-King-The-(Live-Action)-(2019)#tab=summary,260000000,543638043,1647778651,191770759,PG,Adventure,4802,118,2019
16,11/24/2010,Tangled,/movie/Tangled#tab=summary,260000000,200821936,583777242,48767052,PG,Musical,3603,101,2010
17,5/4/2007,Spider-Man 3,/movie/Spider-Man-3#tab=summary,258000000,336530303,894860230,151116516,PG-13,Adventure,4324,139,2007
18,4/22/2016,Captain America: Civil War,/movie/Captain-America-Civil-War#tab=summary,250000000,408084349,1151918521,179139142,PG-13,Action,4226,146,2016
19,7/1/2022,Thor: Love and Thunder,/movie/Thor-Love-and-Thunder-(2022)#tab=summary,250000000,343256830,745453552,144165107,PG-13,Action,4375,119,2022
20,7/15/2009,Harry Potter and the Half-Blood Prince,/movie/Harry-Potter-and-the-Half-Blood-Prince#tab=summary,250000000,302089278,929411069,77835727,PG,Adventure,4455,153,2009
21,12/12/2013,The Hobbit: The Desolation of Smaug,/movie/Hobbit-The-Desolation-of-Smaug-The#tab=summary,250000000,258241522,959358436,73645197,PG-13,Adventure,3928,201,2013
22,12/10/2014,The Hobbit: The Battle of the Five Armies,/movie/Hobbit-The-Battle-of-the-Five-Armies-The#tab=summary,250000000,255119788,940389558,54724334,PG-13,Adventure,3875,144,2014
23,4/7/2017,The Fate of the Furious,/movie/Fate-of-the-Furious-The#tab=summary,250000000,225764765,1236703796,98786705,PG-13,Action,4329,136,2017
24,9/29/2021,No Time to Die,/movie/No-Time-to-Die-(2021)#tab=summary,250000000,160891007,760008036,55225007,PG-13,Action,4407,163,2021
25,12/17/2009,Avatar,/movie/Avatar#tab=summary,237000000,785221649,2910370905,77025481,PG-13,Action,3461,162,2009
26,6/28/2006,Superman Returns,/movie/Superman-Returns#tab=summary,232000000,200120000,391081192,52535096,PG-13,Adventure,4065,150,2006
27,7/19/2012,The Dark Knight Rises,/movie/Dark-Knight-Rises-The#tab=summary,230000000,448139099,1082228107,160887295,PG-13,Action,4404,164,2012
28,5/23/2017,Pirates of the Caribbean: Dead Men Tell No Tales,/movie/Pirates-of-the-Caribbean-Dead-Men-Tell-No-Tales#tab=summary,230000000,172558876,794861794,62983253,PG-13,Adventure,4276,135,2017
29,11/14/2008,Quantum of Solace,/movie/Quantum-of-Solace#tab=summary,230000000,169368427,591692078,67528882,PG-13,Action,3501,106,2008
30,4/25/2012,The Avengers,/movie/Avengers-The-(2012)#tab=summary,225000000,623357910,1515100211,207438708,PG-13,Action,4349,143,2012
31,7/6/2006,Pirates of the Caribbean: Dead Man’s Chest,/movie/Pirates-of-the-Caribbean-Dead-Mans-Chest#tab=summary,225000000,423315812,1066179725,135634554,PG-13,Adventure,4133,151,2006
32,6/14/2013,Man of Steel,/movie/Man-of-Steel#tab=summary,225000000,291045518,667999518,116619362,PG-13,Action,4207,142,2013
